Training_ID,Employee_ID,Course_Name,Course_Category,Completion_Date,Due_Date,Status,Score,Duration_Minutes,On_Time
TRN-001,EMP-1001,Product Knowledge 101,Product Training,2025-01-05,2025-01-10,Completed,95,45,Yes
TRN-002,EMP-1001,Sales Techniques Advanced,Sales Skills,2025-01-12,2025-01-15,Completed,100,60,Yes
TRN-003,EMP-1001,Customer Service Excellence,Soft Skills,2025-01-18,2025-01-20,Completed,98,30,Yes
TRN-004,EMP-3136,Safety Protocols 2025,Compliance,2025-01-08,2025-01-12,Completed,100,25,Yes
TRN-005,EMP-3136,Route Optimization,Operations,2025-01-15,2025-01-18,Completed,92,40,Yes
TRN-006,EMP-5694,Leadership Essentials,Management,2025-01-10,2025-01-15,Completed,88,90,Yes
TRN-007,EMP-5694,Conflict Resolution,Soft Skills,2025-01-20,2025-01-22,Completed,95,35,Yes
TRN-008,EMP-1004,Equipment Handling,Safety,2025-01-07,2025-01-10,Completed,100,50,Yes
TRN-009,EMP-4782,Digital Tools Mastery,Technology,2025-01-14,2025-01-20,Completed,97,55,Yes
TRN-010,EMP-4782,Time Management,Productivity,2025-01-21,2025-01-25,Completed,90,30,Yes
TRN-011,EMP-7402,Account Planning,Sales Skills,2025-01-09,2025-01-12,Completed,100,70,Yes
TRN-012,EMP-9770,Merchandising Best Practices,Product Training,2025-01-16,2025-01-18,Completed,96,45,Yes
TRN-013,EMP-8649,Data Analytics Basics,Technology,2025-01-11,2025-01-15,Completed,85,80,Yes
TRN-014,EMP-5948,Communication Skills,Soft Skills,2025-01-13,2025-01-17,Completed,100,40,Yes
TRN-015,EMP-1078,Inventory Management,Operations,2025-01-19,2025-01-22,Completed,93,60,Yes
TRN-016,EMP-3813,Cold Call Mastery,Sales Skills,2025-01-06,2025-01-10,Completed,88,50,Yes
TRN-017,EMP-8368,Brand Ambassador Training,Product Training,2025-01-17,2025-01-20,Completed,100,35,Yes
TRN-018,EMP-7174,Territory Management,Sales Skills,2025-01-22,2025-01-25,Completed,94,65,Yes
TRN-019,EMP-2901,Compliance Essentials,Compliance,2025-01-08,2025-01-14,Completed,100,30,Yes
TRN-020,EMP-5423,Negotiation Tactics,Sales Skills,2025-01-15,2025-01-18,Completed,91,55,Yes
TRN-021,EMP-1001,Advanced Product Features,Product Training,2025-02-03,2025-02-08,Completed,100,40,Yes
TRN-022,EMP-1001,Market Analysis,Strategy,2025-02-10,2025-02-15,Completed,97,75,Yes
TRN-023,EMP-3136,Performance Coaching,Management,2025-02-05,2025-02-10,Completed,100,60,Yes
TRN-024,EMP-5694,Strategic Planning,Management,2025-02-12,2025-02-16,Completed,85,90,Yes
TRN-025,EMP-1004,Quality Assurance,Operations,2025-02-08,2025-02-12,Completed,98,45,Yes
TRN-026,EMP-4782,Customer Retention,Sales Skills,2025-02-14,2025-02-18,Completed,100,50,Yes
TRN-027,EMP-7402,Sales Forecasting,Analytics,2025-02-09,2025-02-14,Completed,95,70,Yes
TRN-028,EMP-9770,Product Placement,Merchandising,2025-02-16,2025-02-20,Completed,92,40,Yes
TRN-029,EMP-8649,Team Collaboration,Soft Skills,2025-02-11,2025-02-15,Completed,100,35,Yes
TRN-030,EMP-5948,Problem Solving,Critical Thinking,2025-02-18,2025-02-22,Completed,88,55,Yes
TRN-031,EMP-1001,Q1 Compliance Update,Compliance,2025-03-05,2025-03-10,Completed,100,20,Yes
TRN-032,EMP-3136,Diversity & Inclusion,Culture,2025-03-08,2025-03-12,Completed,95,45,Yes
TRN-033,EMP-5694,Budget Management,Finance,2025-03-10,2025-03-15,Completed,90,80,Yes
TRN-034,EMP-1004,Equipment Safety Refresh,Safety,2025-03-12,2025-03-18,Completed,100,30,Yes
TRN-035,EMP-4782,CRM System Training,Technology,2025-03-15,2025-03-20,Completed,98,65,Yes
TRN-036,EMP-7402,Competitive Analysis,Strategy,2025-03-18,2025-03-22,Completed,100,70,Yes
TRN-037,EMP-9770,Visual Merchandising,Product Training,2025-03-20,2025-03-25,Completed,94,50,Yes
TRN-038,EMP-8649,Email Marketing,Marketing,2025-03-22,2025-03-28,Completed,87,40,Yes
TRN-039,EMP-5948,Presentation Skills,Soft Skills,2025-03-25,2025-03-30,Completed,100,55,Yes
TRN-040,EMP-1078,Supply Chain Basics,Operations,2025-03-28,2025-04-02,Completed,92,60,Yes
TRN-041,EMP-1001,Leadership Development,Management,2025-04-02,2025-04-08,Completed,100,90,Yes
TRN-042,EMP-3136,Change Management,Management,2025-04-05,2025-04-10,Completed,96,70,Yes
TRN-043,EMP-5694,Executive Presence,Leadership,2025-04-08,2025-04-12,Completed,88,85,Yes
TRN-044,EMP-1004,Process Improvement,Operations,2025-04-10,2025-04-15,Completed,100,50,Yes
TRN-045,EMP-4782,Social Media Marketing,Marketing,2025-04-12,2025-04-18,Completed,95,45,Yes
TRN-046,EMP-7402,Sales Psychology,Sales Skills,2025-04-15,2025-04-20,Completed,100,60,Yes
TRN-047,EMP-9770,Store Layout Design,Merchandising,2025-04-18,2025-04-22,Completed,91,55,Yes
TRN-048,EMP-8649,Project Management,Operations,2025-04-20,2025-04-25,Completed,100,75,Yes
TRN-049,EMP-5948,Active Listening,Communication,2025-04-22,2025-04-28,Completed,97,35,Yes
TRN-050,EMP-1078,Warehouse Management,Operations,2025-04-25,2025-04-30,Completed,89,65,No
TRN-051,EMP-3813,Objection Handling,Sales Skills,2025-04-28,2025-04-30,Completed,85,50,No
TRN-052,EMP-8368,Brand Standards,Compliance,2025-04-30,2025-05-02,Late,78,40,No
